Timestamp,Date,Funding Rate,APY (annualized)
1734710400071,2024-12-20T16:00:00.071Z,6.287210e-5,41.31
1734714000158,2024-12-20T17:00:00.158Z,1.317069e-4,86.53
1734717600175,2024-12-20T18:00:00.175Z,2.421850e-5,15.91
1734721200089,2024-12-20T19:00:00.089Z,1.703810e-4,111.94
1734724800076,2024-12-20T20:00:00.076Z,1.608832e-4,105.70
1734728400218,2024-12-20T21:00:00.218Z,1.526572e-4,100.30
1734732000090,2024-12-20T22:00:00.090Z,1.353540e-5,8.89
1734735601106,2024-12-20T23:00:01.106Z,5.362480e-5,35.23
1734739200176,2024-12-21T00:00:00.176Z,9.371860e-5,61.57
1734742800125,2024-12-21T01:00:00.125Z,8.938920e-5,58.73
1734746400025,2024-12-21T02:00:00.025Z,5.173550e-5,33.99
1734750000461,2024-12-21T03:00:00.461Z,6.435100e-5,42.28
1734753600463,2024-12-21T04:00:00.463Z,2.639181e-4,173.39
1734757200612,2024-12-21T05:00:00.612Z,3.221924e-4,211.68
1734760800178,2024-12-21T06:00:00.178Z,1.764460e-5,11.59
1734764400062,2024-12-21T07:00:00.062Z,7.272370e-5,47.78
1734768000183,2024-12-21T08:00:00.183Z,1.449355e-4,95.22
1734771600199,2024-12-21T09:00:00.199Z,1.016502e-4,66.78
1734775200079,2024-12-21T10:00:00.079Z,1.807440e-5,11.87
1734778800083,2024-12-21T11:00:00.083Z,5.982770e-5,39.31
1734782400088,2024-12-21T12:00:00.088Z,2.999560e-5,19.71
1734786000065,2024-12-21T13:00:00.065Z,2.255077e-4,148.16
1734789600110,2024-12-21T14:00:00.110Z,8.643200e-5,56.79
1734793200221,2024-12-21T15:00:00.221Z,1.073031e-4,70.50
1734796800103,2024-12-21T16:00:00.103Z,1.824519e-4,119.87
1734800400106,2024-12-21T17:00:00.106Z,1.930410e-5,12.68
1734804000270,2024-12-21T18:00:00.270Z,6.770330e-5,44.48
1734807600136,2024-12-21T19:00:00.136Z,3.130800e-5,20.57
1734811200200,2024-12-21T20:00:00.200Z,1.250000e-5,8.21
1734814800065,2024-12-21T21:00:00.065Z,1.536060e-5,10.09
